Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
000150,KR7000150003,두산,KOSPI,,1193000,2,-83000,-6.5,1256000,1279000,1182000,31300,38214862000,19319245155000,16193835,STK
042700,KR7042700005,한미반도체,KOSPI,,201000,2,-15000,-6.94,212500,213000,200000,404628,82946440750,19157752200000,95312200,STK
033780,KR7033780008,KT&G,KOSPI,,182100,1,2500,1.39,177800,184000,177800,161716,29461507150,18903884037600,103810456,STK
051910,KR7051910008,LG화학,KOSPI,,261000,2,-10500,-3.87,264000,267000,257000,83306,21849271000,18424601523000,70592343,STK
267250,KR7267250009,HD현대,KOSPI,,226000,2,-5500,-2.38,225000,231500,222000,144337,32665951500,17852437210000,78993085,STK
010950,KR7010950004,S-Oil,KOSPI,,154200,1,4400,2.94,149100,156500,147800,438857,67209315100,17360266526400,112582792,STK
064350,KR7064350002,현대로템,KOSPI,,157900,2,-8600,-5.17,166600,173000,156400,394042,65407154700,17233568064700,109142293,STK
024110,KR7024110009,기업은행,KOSPI,,21200,1,150,0.71,20850,21350,20750,528751,11170658625,16905428422800,797425869,STK
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,763000,1,27000,3.67,745000,802000,734000,192244,148628007500,16786000000000,22000000,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,303500,2,-3000,-0.98,297500,317000,296000,318506,98216733250,16263455100500,53586343,KSQ
018260,KR7018260000,삼성에스디에스,KOSPI,,209000,2,-9000,-4.13,214000,216000,201500,159794,33210361000,16171960200000,77377800,STK
035720,KR7035720002,카카오,KOSPI,,36000,2,-1150,-3.1,36450,36800,35500,1209387,43616932900,15947318520000,442981070,STK
047810,KR7047810007,한국항공우주,KOSPI,,162000,2,-2100,-1.28,162100,164900,159200,299950,48717511150,15790967334000,97475107,STK
086280,KR7086280005,현대글로비스,KOSPI,,206000,1,1500,0.73,204000,215000,203000,216855,45500276500,15450000000000,75000000,STK
003550,KR7003550001,LG,KOSPI,,97950,2,-3650,-3.59,99400,100500,96400,116329,11467056850,14809256791800,151192004,STK
011070,KR7011070000,LG이노텍,KOSPI,,622000,2,-57000,-8.39,667000,667000,611000,104175,65536647500,14720940554000,23667107,STK
030200,KR7030200000,KT,KOSPI,,53500,1,800,1.52,52900,54500,52900,327980,17598987500,13483160147500,252021685,STK
278470,KR7278470000,에이피알,KOSPI,,355000,2,-15000,-4.05,366000,374000,352000,125770,45202279750,13290545025000,37438155,STK
272210,KR7272210006,한화시스템,KOSPI,,67800,2,-1900,-2.73,72100,72900,66700,898231,62845589250,12808734574200,188919389,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,142000,2,-10200,-6.7,148400,148900,140400,136144,19590589300,12630363240000,88946220,STK
000720,KR7000720003,현대건설,KOSPI,,107800,2,-1100,-1.01,107000,111150,105900,420200,45498967350,12004151467000,111355765,STK
071050,KR7071050009,한국금융지주,KOSPI,,209500,2,-12000,-5.42,216500,218500,205000,177739,37366403750,11674595324000,55725992,STK
005830,KR7005830005,DB손해보험,KOSPI,,168300,1,2900,1.75,161700,172400,161100,134661,22735175950,11023708736700,65500349,STK
259960,KR7259960003,크래프톤,KOSPI,,238500,1,1000,0.42,233500,240000,232000,44147,10394954500,11003873170500,46137833,STK
086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,79400,2,-4900,-5.81,81800,82000,78300,417856,33432119400,10780626468800,135776152,KSQ
005940,KR7005940002,NH투자증권,KOSPI,,29100,2,-900,-3.0,29800,30000,28500,384273,11174594275,10743897655500,369206105,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,109600,2,-8600,-7.28,114700,115200,108200,229870,25497911000,10722215566400,97830434,KSQ
307950,KR7307950006,현대오토에버,KOSPI,,385000,2,-45000,-10.47,414000,414500,377500,83319,32568904750,10558233070000,27423982,STK
323410,KR7323410001,카카오뱅크,KOSPI,,21800,2,-300,-1.36,21750,22150,21500,372260,8120087500,10401225526600,477120437,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,56550,2,-50,-0.09,56300,57800,55300,387901,22021432200,9948433661400,175922788,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,391500,1,11500,3.03,377000,396000,374500,41037,15888478500,9741713683500,24883049,STK
006260,KR7006260004,LS,KOSPI,,311000,2,-10500,-3.27,322000,327500,304500,107782,34060414000,9703200000000,31200000,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,210500,2,-4500,-2.09,212000,217500,206000,35289,7477978000,9437443330000,44833460,STK
028050,KR7028050003,삼성E&A,KOSPI,,47550,1,900,1.93,46750,49350,45500,4271925,204230294450,9319800000000,196000000,STK
003490,KR7003490000,대한항공,KOSPI,,25100,2,-650,-2.52,25050,25700,24900,2421102,61128957150,9242338591100,368220661,STK
078930,KR7078930005,GS,KOSPI,,99000,1,5400,5.77,92300,99500,92200,720116,69785960950,9196654005000,92895495,STK
352820,KR7352820005,하이브,KOSPI,,211500,1,500,0.24,208000,213500,205000,97180,20296328750,9117095814000,43106836,STK
016360,KR7016360000,삼성증권,KOSPI,,99600,2,-5300,-5.05,103400,103500,98500,329952,33136010600,8894280000000,89300000,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,71500,2,-5200,-6.78,73500,74100,66200,260270,18628196300,8857067433500,123875069,STK
003230,KR7003230000,삼양식품,KOSPI,,1158000,1,31000,2.75,1119000,1175000,1104000,32749,37884419500,8723231370000,7533015,STK
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,429500,2,-78500,-15.45,487500,487500,427000,253284,113276652000,8332239011000,19399858,KSQ
039490,KR7039490008,키움증권,KOSPI,,295500,2,-19000,-6.04,310500,313000,289500,121611,36190598500,7750467378000,26228316,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,119000,3,0,0.0,117000,121300,116800,162960,19362752500,6960638321000,58492759,STK
180640,KR7180640005,한진칼,KOSPI,,104000,2,-900,-0.86,103100,106400,102500,59142,6152671800,6943277016000,66762279,STK
005387,KR7005382007,현대차2우B,KOSPI,,196600,2,-8900,-4.33,203000,203000,193400,111382,21941710650,6873908638000,34963930,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,145900,2,-18000,-10.98,161300,161300,143800,1024116,154818756300,6781595553900,46481121,KSQ
000880,KR7000880005,한화,KOSPI,,96100,1,1400,1.48,94000,98200,94000,75118,7239639400,6775811015900,70507919,STK
267270,KR7267270007,HD건설기계,KOSPI,,134300,2,-6000,-4.28,138000,139700,131700,150599,20328366650,6435910767100,47921897,STK
007660,KR7007660004,이수페타시스,KOSPI,,87600,2,-5800,-6.21,91600,92200,86300,353578,31288837050,6430647584400,73409219,STK
021240,KR7021240007,코웨이,KOSPI,,90650,2,-50,-0.06,89300,92000,88900,116077,10512392950,6415067166900,70767426,STK
047040,KR7047040001,대우건설,KOSPI,,15400,2,-940,-5.75,15860,16300,15170,2892922,45433855525,6327977625200,410907638,STK
064400,KR7064400005,LG씨엔에스,KOSPI,,65100,2,-4800,-6.87,68000,68300,64300,598852,39448473800,6307275214800,96885948,STK
326030,KR7326030004,SK바이오팜,KOSPI,,80400,1,700,0.88,79000,82700,79000,99781,8087263300,6296385300000,78313250,STK
032640,KR7032640005,LG유플러스,KOSPI,,14670,2,-120,-0.81,14530,14830,14530,473745,6945139370,6226354828440,424427732,STK
000100,KR7000100008,유한양행,KOSPI,,74900,1,3500,4.9,77000,77100,73900,378001,28567891350,5965605314900,79647601,STK
241560,KR7241560002,두산밥캣,KOSPI,,61550,2,-7750,-11.18,65900,65900,61200,180903,11356722650,5899940800750,95856065,STK
377300,KR7377300009,카카오페이,KOSPI,,41950,2,-1400,-3.23,42500,43150,41350,135296,5727107850,5674581743750,135270125,STK
029780,KR7029780004,삼성카드,KOSPI,,48700,1,550,1.14,47700,49150,47700,47163,2296025700,5642327991700,115858891,STK
138930,KR7138930003,BNK금융지주,KOSPI,,18050,1,280,1.58,17520,18110,17500,457881,8201637110,5601402945650,310327033,STK
000500,KR7000500009,가온전선,KOSPI,,186000,2,-31000,-14.29,212000,214000,180500,246868,47758890700,5538634902000,29777607,STK
001440,KR7001440007,대한전선,KOSPI,,28050,2,-2950,-9.52,30150,30300,27800,1706392,49300229725,5497592317800,195992596,STK
353200,KR7353200009,대덕전자,KOSPI,,108600,2,-14600,-11.85,121200,121200,108100,608194,68053952000,5366678055000,49416925,STK
009830,KR7009830001,한화솔루션,KOSPI,,30900,1,900,3.0,30000,32000,28700,4468219,135335419975,5311479362400,171892536,STK
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,69000,2,-4900,-6.63,72400,72600,68200,293024,20492629750,5258617650000,76211850,KSQ
062040,KR7062040001,산일전기,KOSPI,,171000,2,-12600,-6.86,179700,182900,167200,133678,23163725200,5235310350000,30615850,STK
271560,KR7271560005,오리온,KOSPI,,129950,1,650,0.5,128600,131900,128000,59850,7760169800,5136766000600,39528788,STK
010060,KR7010060002,OCI홀딩스,KOSPI,,271000,1,24000,9.72,258500,283500,239000,1018847,265799299750,5059632872000,18670232,STK
128940,KR7128940004,한미약품,KOSPI,,393000,1,4000,1.03,381000,398500,381000,54463,21402049750,5034719463000,12810991,STK
240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,101700,2,-11600,-10.24,111900,112600,100100,777416,81033871950,4991832731700,49083901,KSQ
034220,KR7034220004,LG디스플레이,KOSPI,,9820,2,-660,-6.3,10270,10370,9800,3697072,36835353820,4910000000000,500000000,STK
175330,KR7175330000,JB금융지주,KOSPI,,26250,1,700,2.74,25600,26900,25500,329339,8688505600,4896197880000,186521824,STK
036570,KR7036570000,NC,KOSPI,,225500,1,500,0.22,223500,231000,220000,41543,9378598750,4858176961000,21544022,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,10030,2,-60,-0.59,10050,10110,10010,620230,6234145135,4803587589790,478921993,STK
004170,KR7004170007,신세계,KOSPI,,501000,2,-43000,-7.9,538000,550000,495000,84201,42968651250,4732035681000,9445181,STK
005385,KR7005381009,현대차우,KOSPI,,196400,2,-8600,-4.2,200500,202000,193400,56045,11046291350,4584164544000,23340960,STK
000990,KR7000990002,DB하이텍,KOSPI,,100600,2,-9500,-8.63,106600,107900,99500,204159,20845499650,4376561552800,43504588,STK
454910,KR7454910001,두산로보틱스,KOSPI,,65100,2,-4700,-6.73,68200,68300,64200,425712,27950967700,4219780698000,64819980,STK
082740,KR7082740002,한화엔진,KOSPI,,49525,2,-775,-1.54,50300,52000,48550,705782,35324242400,4132719707550,83447142,STK
319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,142600,2,-14400,-9.17,157900,158700,140500,370353,54185717750,4130653416400,28966714,KSQ
028300,KR7028300002,HLB,KOSDAQ,중견기업부,30900,1,900,3.0,33650,35500,30000,1884452,61580959900,4115825090700,133198223,KSQ
298380,KR7298380007,에이비엘바이오,KOSDAQ GLOBAL,기술성장기업부,73200,2,-1100,-1.48,72700,77500,71800,190010,14041950250,4098282291600,55987463,KSQ
