,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
143,357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,310000,2,-5500,-1.74,319000,326000,310000,26361,8367554000,2411355460000,7778566,KSQ
144,081660,KR7081660003,휠라홀딩스,KOSPI,,40000,3,0,0.0,39800,40450,39800,15435,618913300,2403833560000,60095839,STK
145,007070,KR7007070006,GS리테일,KOSPI,,21650,1,300,1.41,21350,21750,21250,94845,2038520150,2267143011300,104717922,STK
146,028670,KR7028670008,팬오션,KOSPI,,4240,1,175,4.31,4085,4265,4065,3614278,15155229150,2266574730880,534569512,STK
147,012750,KR7012750006,에스원,KOSPI,,59300,1,600,1.02,58900,59400,58300,22778,1346515100,2253351255400,37999178,STK
148,000120,KR7000120006,CJ대한통운,KOSPI,,98200,2,-700,-0.71,98700,99700,97500,32172,3164319300,2240172180800,22812344,STK
149,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,179300,2,-3600,-1.97,183800,186400,179200,131180,23892666900,2208895315000,12319550,KSQ
150,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,142600,2,-400,-0.28,140100,146300,138000,246660,35239842100,2207532561800,15480593,KSQ
151,008930,KR7008930000,한미사이언스,KOSPI,,32200,1,550,1.74,31700,32600,31650,112333,3626633150,2202207910000,68391550,STK
152,008770,KR7008770000,호텔신라,KOSPI,,55500,1,200,0.36,55400,55600,55200,75982,4211213500,2178270715500,39248121,STK
153,204320,KR7204320006,HL만도,KOSPI,,46200,1,950,2.1,45350,46600,44800,294631,13572690450,2169418944000,46957120,STK
154,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,41700,2,-1150,-2.68,42850,43100,41700,380444,16076008300,2143984399800,51414494,KSQ
155,014680,KR7014680003,한솔케미칼,KOSPI,,185300,2,-600,-0.32,185600,187700,183800,22438,4156224100,2100411633500,11335195,STK
156,030000,KR7030000004,제일기획,KOSPI,,18170,1,20,0.11,18200,18220,18140,169963,3089317110,2090299058250,115041225,STK
157,192820,KR7192820009,코스맥스,KOSPI,,178200,2,-8900,-4.76,189000,191000,177400,98041,17813599500,2022482503800,11349509,STK
158,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,56500,1,300,0.53,56000,57500,56000,267634,15196613100,2007585798000,35532492,KSQ
159,005850,KR7005850003,에스엘,KOSPI,,43200,2,-1000,-2.26,44550,44800,42850,323162,14082694300,2006576064000,46448520,STK
160,000880,KR7000880005,한화,KOSPI,,26450,1,50,0.19,26450,26500,26050,132963,3499514150,1982658540750,74958735,STK
161,026960,KR7026960005,동서,KOSPI,,19880,1,80,0.4,19730,20100,19550,62157,1234262000,1982036000000,99700000,STK
162,051915,KR7051911006,LG화학우,KOSPI,,253500,1,500,0.2,254000,256500,250000,7006,1778272000,1949110800000,7688800,STK
163,112610,KR7112610001,씨에스윈드,KOSPI,,46050,2,-100,-0.22,46150,46700,45750,101109,4670956200,1941993108150,42171403,STK
164,282330,KR7282330000,BGF리테일,KOSPI,,110300,2,-1000,-0.9,111200,111300,109800,42949,4733533000,1906414831800,17283906,STK
165,041510,KR7041510009,에스엠,KOSDAQ,우량기업부,80600,2,-200,-0.25,81000,81800,80500,62188,5038517300,1901315473200,23589522,KSQ
166,073240,KR7073240004,금호타이어,KOSPI,,6610,1,50,0.76,6520,6710,6460,294651,1950829780,1898790497070,287260287,STK
167,089030,KR7089030001,테크윙,KOSDAQ,우량기업부,50200,2,-1400,-2.71,50500,52800,50200,406807,20875977100,1875152979000,37353645,KSQ
168,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,85400,2,-1000,-1.16,85700,86300,84300,34559,2941043600,1872749751600,21929154,KSQ
169,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,66900,1,1000,1.52,65900,69000,65800,272454,18397402300,1838676121200,27483948,KSQ
170,023530,KR7023530009,롯데쇼핑,KOSPI,,64900,1,1300,2.04,63800,65700,63300,71999,4670153900,1835940199500,28288755,STK
171,017800,KR7017800004,현대엘리베이,KOSPI,,46750,1,2800,6.37,43600,46900,43600,193309,8799345800,1827568998750,39092385,STK
172,007310,KR7007310006,오뚜기,KOSPI,,455000,2,-3500,-0.76,463000,464500,455000,4939,2266325000,1823562650000,4007830,STK
173,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,80100,2,-4400,-5.21,81300,84400,79000,617974,50230320000,1821569959800,22741198,KSQ
174,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,92800,1,500,0.54,92500,96700,92300,306006,28878003000,1806214470400,19463518,KSQ
175,012510,KR7012510004,더존비즈온,KOSPI,,59100,2,-1800,-2.96,60400,60400,58100,220305,13006481100,1795622534400,30382784,STK
176,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,21550,2,-150,-0.69,21700,21900,21200,176143,3798785000,1781012507600,82645592,KSQ
