Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,192500,1,6300,3.38,190900,194600,190100,16871795,3246315971300,1139530299985000,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,879000,1,3000,0.34,877000,901500,869000,2401572,2126909509000,626465378835000,712702365,STK
005935,KR7005931001,삼성전자우,KOSPI,,128700,1,4300,3.46,126800,131500,126500,2128906,275386336650,105015939256800,815974664,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,412500,1,14000,3.51,399500,418000,399500,326782,134825230750,96525000000000,234000000,STK
005380,KR7005380001,현대차,KOSPI,,468500,2,-2500,-0.53,469500,477500,465000,447105,210198254750,95929013371000,204757766,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1455000,1,6000,0.41,1449000,1474000,1410000,96563,138925701000,75024748455000,51563401,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1567000,1,13000,0.84,1560000,1582000,1545000,18607,28986913500,72537920217000,46290951,STK
402340,KR7402340004,SK스퀘어,KOSPI,,484500,1,1500,0.31,482000,497000,480000,232327,113149514000,63996207217500,132087115,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,96100,2,-500,-0.52,96500,99000,95600,1661247,161007004650,61557926130600,640561146,STK
000270,KR7000270009,기아,KOSPI,,151700,1,1500,1.0,151000,154100,150200,453568,68855558100,59225651796600,390412998,STK
105560,KR7105560007,KB금융,KOSPI,,148700,1,3200,2.2,145800,149500,145100,420237,61983539650,55442862658500,372850455,STK
329180,KR7329180004,HD현대중공업,KOSPI,,475000,2,-4500,-0.94,476500,489500,470000,198558,94884457500,49856581875000,104961225,STK
068270,KR7068270008,셀트리온,KOSPI,,196100,1,800,0.41,195200,198500,194600,267873,52623691550,45308563982100,231048261,STK
032830,KR7032830002,삼성생명,KOSPI,,226000,1,5000,2.26,222000,229500,222000,118883,26825338250,45200000000000,200000000,STK
055550,KR7055550008,신한지주,KOSPI,,93700,1,1900,2.07,92200,94400,91800,487746,45483084200,44475113625700,474654361,STK
028260,KR7028260008,삼성물산,KOSPI,,268000,1,5000,1.9,265500,276500,265500,289461,78115751250,43461286908000,162168981,STK
042660,KR7042660001,한화오션,KOSPI,,122300,2,-5700,-4.45,126800,128400,122100,13978569,1786784793150,37474358086200,306413394,STK
