Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
017670,KR7017670001,SK텔레콤,KOSPI,,101300,2,-1400,-1.36,103000,105200,100100,1013036,103567291400,21758232368900,214790053,STK
267250,KR7267250009,HD현대,KOSPI,,269500,2,-9500,-3.41,282500,295000,265000,224943,62821652000,21288636407500,78993085,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,235500,2,-15000,-5.99,252500,263000,231000,455373,111213895250,20946834810000,88946220,STK
096770,KR7096770003,SK이노베이션,KOSPI,,123500,2,-3200,-2.53,130000,136400,122200,1140726,148162856400,20878019318000,169052788,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,369000,2,-16000,-4.16,396500,405000,361000,706370,269636914000,19753988067000,53533843,KSQ
272210,KR7272210006,한화시스템,KOSPI,,104300,2,-11800,-10.16,115000,115100,102900,1061441,113764610150,19704292272700,188919389,STK
035720,KR7035720002,카카오,KOSPI,,44000,2,-1950,-4.24,46400,46400,43300,2235112,100099359975,19496898828000,443111337,STK
003550,KR7003550001,LG,KOSPI,,126000,1,9000,7.69,151400,152100,124200,2619097,356873065150,19431919710000,154221585,STK
011200,KR7011200003,HMM,KOSPI,,19890,2,-210,-1.04,20150,20400,19590,1771846,35343213790,18761003223300,943237970,STK
033780,KR7033780008,KT&G,KOSPI,,179800,2,-9200,-4.87,187200,188700,178100,358267,64720399000,18665119988800,103810456,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,190500,2,-18500,-8.85,208000,215500,188200,825029,163384452450,18636697677000,97830434,KSQ
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,834000,2,-44000,-5.01,874000,881000,827000,224955,191120153416,18348000000000,22000000,STK
086280,KR7086280005,현대글로비스,KOSPI,,242000,2,-21000,-7.98,268500,271500,238000,848509,214744938000,18150000000000,75000000,STK
307950,KR7307950006,현대오토에버,KOSPI,,648000,2,-41000,-5.95,693000,723000,624000,340298,229513848500,17770740336000,27423982,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,105800,2,-4300,-3.91,110500,111500,104100,431262,45707510600,17705341483400,167347273,STK
086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,129200,2,-13100,-9.21,140600,144800,126100,1869135,250769451700,17542278838400,135776152,KSQ
011070,KR7011070000,LG이노텍,KOSPI,,732000,2,-28000,-3.68,798000,818000,712000,403497,309693771500,17324322324000,23667107,STK
000720,KR7000720003,현대건설,KOSPI,,155000,2,-14300,-8.45,167500,167500,151700,1149196,181678684900,17260143575000,111355765,STK
024110,KR7024110009,기업은행,KOSPI,,20900,2,-400,-1.88,21300,21500,20600,1582527,33091003550,16666200662100,797425869,STK
